URL,Name,V3
http://www.kibutu.com/kibutu.php?university=niigata,新潟大学,9
http://www.kibutu.com/kibutu.php?university=niigata_kennritu_kanngo,新潟県立看護大学,0
http://www.kibutu.com/kibutu.php?university=keiwa_gakuenn,敬和学園大学,14
http://www.kibutu.com/kibutu.php?university=nagaoka,長岡大学,0
http://www.kibutu.com/kibutu.php?university=nagaoka_zoukei,長岡造形大学,0
http://www.kibutu.com/kibutu.php?university=niigata_iryou_hukusi,新潟医療福祉大学,0
http://www.kibutu.com/kibutu.php?university=niigata_keiei,新潟経営大学,45
http://www.kibutu.com/kibutu.php?university=niigata_kouka,新潟工科大学,0
http://www.kibutu.com/kibutu.php?university=niigata_kokusai_jouhou,新潟国際情報大学,902
http://www.kibutu.com/kibutu.php?university=niigata_sanngyou,新潟産業大学,0
http://www.kibutu.com/kibutu.php?university=niigata_seiryou,新潟青陵大学,1
http://www.kibutu.com/kibutu.php?university=niigata_yakka,新潟薬科大学,4
http://www.kibutu.com/kibutu.php?university=sinnsyuu,信州大学,4
http://www.kibutu.com/kibutu.php?university=naganokenn_kanngo,長野県看護大学,0
http://www.kibutu.com/kibutu.php?university=suwa_toukyou_rika,諏訪東京理科大学,1
http://www.kibutu.com/kibutu.php?university=seisenn_jogakuinn,清泉女学院大学,0
http://www.kibutu.com/kibutu.php?university=nagano,長野大学,0
http://www.kibutu.com/kibutu.php?university=matumoto,松本大学,0
http://www.kibutu.com/kibutu.php?university=matumoto_sika,松本歯科大学,0
http://www.kibutu.com/kibutu.php?university=toyama,富山大学,6
http://www.kibutu.com/kibutu.php?university=toyama_ika_yakka,富山医科薬科大学,30
http://www.kibutu.com/kibutu.php?university=toyama_kennritu,富山県立大学,0
http://www.kibutu.com/kibutu.php?university=takaoka_houka,高岡法科大,0
http://www.kibutu.com/kibutu.php?university=toyama_kokusai,富山国際大学,1
http://www.kibutu.com/kibutu.php?university=kanazawa,金沢大学,64
http://www.kibutu.com/kibutu.php?university=isikawa_kennritu_kanngo,石川県立看護大学,0
